Flight Number,Type,Status,Departure IATA Code,Departure ICAO Code,Scheduled Time,Arrival IATA Code,Arrival ICAO Code,Arrival Estimated Time,Days,Month,Year,Hour,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
4361,departure,active,lhe,opla,2024-05-14 00:20:00,dxb,omdb,2024-05-14 00:20:00,14,May,2024,0,1.1888138175839544,0.9673767510008834,0.5650713306195332,-0.4356428847025298,-0.38119028402109784,-0.20477251686586226,-1.931125150892326,-1.8235003264655598,-1.350445896390919,0.5447221119959539,0.5985502394834752,-0.34509181601573896,-0.01737020002542934,0.0929270615571726,0.30659842709948365
1876,departure,active,lhe,opla,2024-05-07 04:15:00,ruh,oerk,2024-05-07 04:15:00,7,May,2024,4,1.3183290844078945,1.1416057883140558,0.7938695252230734,-0.09003892606586722,-0.4312746410526259,-0.6632699031143414,-1.931125150892326,-1.9535873334850054,-1.6215051825881244,-0.17014727519750822,-0.30106759135958255,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2941749463682184
6030,departure,active,lhe,opla,2024-05-09 03:10:00,doh,othh,2024-05-09 03:10:00,9,May,2024,3,1.1888138175839544,1.0477901528377316,0.9082686225248436,0.34196602222996103,0.37842246429040904,0.2537248693826169,-1.3681580950127066,-1.247400723950873,-0.8625391812359493,0.3064323162647999,0.6499569726745069,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536
739,departure,active,lhe,opla,2024-05-12 02:50:00,jed,oejn,2024-05-12 02:50:00,12,May,2024,2,0.47647985005228427,0.5854130922758506,0.6794704279213033,0.6875699808666236,0.46189639267628896,0.3847241225964681,0.109630426671294,-0.5226302562711052,-0.4830561805598618,0.5447221119959539,1.2411344043713737,1.6620748689737628,-0.01737020002542934,0.36666569250075276,0.2941749463682184
3932,departure,active,lhe,opla,2024-05-16 04:35:00,auh,omaa,2024-05-16 04:35:00,16,May,2024,4,1.5126019846438046,1.3828459938246023,1.0798672684774988,-0.0036379364067015696,0.12800067913276925,0.1227256161687657,-2.142237796847183,-1.8173057070836818,-1.296234039151478,-0.5672969347494317,-0.45528779093267824,-0.34509181601573896,-0.01737020002542934,0.0929270615571726,0.2941749463682184
410,departure,active,lhe,opla,2024-05-04 14:55:00,dxb,omdb,2024-05-04 14:45:00,4,May,2024,14,0.7355103837001644,0.6725276109324367,0.45067223331776296,-0.4356428847025298,-0.4730116052455659,-0.3357717700797134,-1.438528976997659,-1.6066886480998175,-1.1335984674331547,0.5447221119959539,1.395354603944469,-0.34509181601573896,-0.457415267336379,0.0929270615571726,0.2941749463682184
6030,departure,active,lhe,opla,2024-05-02 03:10:00,doh,othh,2024-05-02 03:10:00,2,May,2024,3,0.47647985005228427,0.2503572512889798,-0.06412370454020279,-0.6084448640208611,-0.7317807832417939,-0.6632699031143414,-0.5940783931782301,-1.2845684402421431,-1.296234039151478,-0.09071734328712354,-0.09544065859545513,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2941749463682184
7579,departure,active,lhe,opla,2024-05-03 09:00:00,dxb,omdb,2024-05-03 09:00:00,3,May,2024,9,0.6059951168762243,0.4580918727008393,0.16467449006333754,-0.7812468433391924,-0.7985599259504975,-0.6632699031143414,-1.2274163310428017,-1.6872187000642362,-1.296234039151478,-0.3290071390182776,-0.42958442433716226,-0.34509181601573896,-0.457415267336379,0.0929270615571726,0.2941749463682184
3894,departure,active,lhe,opla,2024-05-11 20:40:00,auh,omaa,2024-05-11 20:40:00,11,May,2024,20,0.8650256505241044,0.6591253772929617,0.5650713306195332,-0.0036379364067015696,0.20312721468006167,0.2537248693826169,-1.1570454490578495,-0.9314751354750768,-0.8625391812359493,1.021301703458262,0.6756603392700232,-0.34509181601573896,-0.01737020002542934,0.0929270615571726,0.30659842709948365
405,departure,active,lhe,opla,2024-05-09 17:00:00,khi,opkc,2024-05-09 17:00:00,9,May,2024,17,1.1888138175839544,1.0477901528377316,0.9082686225248436,0.34196602222996103,0.37842246429040904,0.2537248693826169,-1.3681580950127066,-1.247400723950873,-0.8625391812359493,0.3064323162647999,0.6499569726745069,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536
244,departure,cancelled,lhe,opla,2024-05-09 20:40:00,auh,omaa,2024-05-09 20:54:00,9,May,2024,20,1.1888138175839544,1.0477901528377316,0.9082686225248436,0.34196602222996103,0.37842246429040904,0.2537248693826169,-1.3681580950127066,-1.247400723950873,-0.8625391812359493,0.3064323162647999,0.6499569726745069,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536
430,departure,active,lhe,opla,2024-05-09 00:30:00,auh,omaa,2024-05-09 00:50:00,9,May,2024,0,1.1888138175839544,1.0477901528377316,0.9082686225248436,0.34196602222996103,0.37842246429040904,0.2537248693826169,-1.3681580950127066,-1.247400723950873,-0.8625391812359493,0.3064323162647999,0.6499569726745069,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536
453,departure,active,lhe,opla,2024-05-01 07:00:00,kdu,opsd,2024-05-01 07:00:00,1,May,2024,7,-0.10633885065544596,-0.23212315973211425,-0.23572235049285803,-0.6084448640208611,-0.83194949730485,-0.7942691563281926,-0.31259486523842045,-0.8509450835106583,-0.9709628957148315,-0.011287411376738858,0.3415165735283158,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2941749463682184
621,departure,active,lhe,opla,2024-05-02 03:10:00,doh,othh,2024-05-02 03:10:00,2,May,2024,3,0.47647985005228427,0.2503572512889798,-0.06412370454020279,-0.6084448640208611,-0.7317807832417939,-0.6632699031143414,-0.5940783931782301,-1.2845684402421431,-1.296234039151478,-0.09071734328712354,-0.09544065859545513,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2941749463682184
203,departure,active,lhe,opla,2024-05-07 12:25:00,dxb,omdb,2024-05-07 12:25:00,7,May,2024,12,1.3183290844078945,1.1416057883140558,0.7938695252230734,-0.09003892606586722,-0.4312746410526259,-0.6632699031143414,-1.931125150892326,-1.9535873334850054,-1.6215051825881244,-0.17014727519750822,-0.30106759135958255,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2941749463682184
797,departure,active,lhe,opla,2024-05-05 07:20:00,yyz,cyyz,2024-05-05 07:20:00,5,May,2024,7,0.7355103837001644,0.786446596867973,0.5650713306195332,-0.4356428847025298,-0.3978850696982741,-0.20477251686586226,-1.931125150892326,-1.718191796973628,-1.1335984674331547,-0.17014727519750822,0.5471435062924432,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536
723,departure,active,lhe,opla,2024-05-11 11:30:00,dxb,omdb,2024-05-11 17:30:00,11,May,2024,11,0.8650256505241044,0.6591253772929617,0.5650713306195332,-0.0036379364067015696,0.20312721468006167,0.2537248693826169,-1.1570454490578495,-0.9314751354750768,-0.8625391812359493,1.021301703458262,0.6756603392700232,-0.34509181601573896,-0.01737020002542934,0.0929270615571726,0.30659842709948365
