Flight Number,Type,Status,Departure IATA Code,Departure ICAO Code,Scheduled Time,Actual Time,Arrival IATA Code,Arrival ICAO Code,Arrival Estimated Time,Days,Month,Year,Hour
737,departure,active,lhe,opla,2023-07-20 20:50:00,2023-07-20 20:15:00,ruh,oerk,2023-07-20 21:54:00,20,Jul,2023,20
843,departure,active,lhe,opla,2023-07-18 15:05:00,,khi,opkc,,18,Jul,2023,15
841,departure,active,lhe,opla,2023-07-23 09:50:00,,khi,opkc,,23,Jul,2023,9
205,departure,active,lhe,opla,2023-07-26 23:30:00,2023-07-26 23:51:00,kwi,okkk,2023-07-27 01:24:00,26,Jul,2023,23
723,departure,active,lhe,opla,2023-07-20 11:35:00,,dxb,omdb,,20,Jul,2023,11
401,departure,active,lhe,opla,2023-07-28 09:00:00,,khi,opkc,,28,Jul,2023,9
735,departure,active,lhe,opla,2023-07-23 11:40:00,,jed,oejn,,23,Jul,2023,11
7915,departure,active,lhe,opla,2023-07-16 09:25:00,,doh,othh,,16,Jul,2023,9
9090,departure,active,lhe,opla,2023-07-30 22:00:00,,kmg,zppp,,30,Jul,2023,22
525,departure,cancelled,lhe,opla,2023-07-22 20:30:00,,khi,opkc,,22,Jul,2023,20
344,departure,active,lhe,opla,2023-07-24 10:45:00,2023-07-24 10:54:00,bgw,orbi,2023-07-24 12:44:00,24,Jul,2023,10
1563,departure,active,lhe,opla,2023-07-15 21:10:00,,doh,othh,,15,Jul,2023,21
737,departure,active,lhe,opla,2023-07-28 20:50:00,,ruh,oerk,,28,Jul,2023,20
242,departure,active,lhe,opla,2023-07-30 04:15:00,,auh,omaa,,30,Jul,2023,4
8284,departure,active,lhe,opla,2023-07-27 03:30:00,2023-07-27 03:36:00,doh,othh,2023-07-27 04:38:00,27,Jul,2023,3
6173,departure,active,lhe,opla,2023-07-23 09:55:00,2023-07-23 10:00:00,doh,othh,2023-07-23 11:02:00,23,Jul,2023,9
8127,departure,active,lhe,opla,2023-07-22 21:10:00,2023-07-22 21:06:00,doh,othh,2023-07-22 22:09:00,22,Jul,2023,21
629,departure,active,lhe,opla,2023-07-16 09:25:00,,doh,othh,,16,Jul,2023,9
6032,departure,active,lhe,opla,2023-07-21 09:55:00,,doh,othh,,21,Jul,2023,9
7617,departure,active,lhe,opla,2023-07-17 03:30:00,,dxb,omdb,,17,Jul,2023,3
4547,departure,active,lhe,opla,2023-07-21 04:00:00,2023-07-21 04:26:00,ist,ltfm,2023-07-21 08:26:00,21,Jul,2023,4
146,departure,active,lhe,opla,2023-07-28 21:45:00,,khi,opkc,,28,Jul,2023,21
8284,departure,active,lhe,opla,2023-07-28 03:30:00,2023-07-28 03:32:00,doh,othh,2023-07-28 04:33:00,28,Jul,2023,3
821,departure,active,lhe,opla,2023-07-14 08:30:00,,jed,oejn,,14,Jul,2023,8
242,departure,active,lhe,opla,2023-07-15 04:50:00,2023-07-15 04:21:00,auh,omaa,2023-07-15 06:08:00,15,Jul,2023,4
7617,departure,active,lhe,opla,2023-07-27 03:30:00,2023-07-27 04:06:00,dxb,omdb,2023-07-27 05:53:00,27,Jul,2023,3
609,departure,active,lhe,opla,2023-07-15 21:10:00,,doh,othh,,15,Jul,2023,21
144,departure,active,lhe,opla,2023-07-18 16:15:00,2023-07-18 16:20:00,khi,opkc,2023-07-18 17:48:00,18,Jul,2023,16
