Days,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
1,86,74.8,66,63,52.1,46,68,47.5,25,18,9.4,3,29.1,29.1,29.0
2,90,77.5,64,59,52.2,43,83,45.7,20,12,6.1,0,29.0,29.0,28.9
3,91,78.2,66,57,55.2,50,73,47.8,26,14,5.2,0,29.1,29.0,29.0
4,91,79.1,66,59,53.5,50,64,43.3,24,18,8.8,0,29.1,29.1,29.0
5,91,80.3,66,55,49.1,43,64,36.8,18,16,9.3,0,29.1,29.0,29.0
6,91,80.0,68,57,49.0,41,64,36.8,18,17,6.2,0,29.1,29.0,29.0
7,93,81.2,68,55,50.8,43,64,37.4,17,15,4.9,0,29.1,29.0,29.0
8,93,81.5,68,55,49.9,46,60,35.6,20,14,3.8,0,29.1,29.1,29.0
9,97,83.1,68,57,50.4,45,56,34.9,17,12,3.3,0,29.1,29.1,29.0
10,95,83.2,70,64,59.0,55,64,44.9,32,25,5.6,0,29.1,29.1,29.0
11,95,80.3,68,57,52.6,48,64,41.0,20,21,13.3,7,29.2,29.1,29.1
12,95,81.1,66,57,53.9,50,68,41.9,23,12,7.1,0,29.2,29.1,29.0
13,82,76.3,70,63,58.0,54,73,53.6,37,29,11.5,0,29.2,29.1,29.0
14,82,73.0,66,63,60.5,57,83,65.9,45,23,10.1,0,29.2,29.2,29.1
15,88,75.4,68,75,61.7,59,84,64.3,40,35,8.4,0,29.2,29.1,29.0
16,90,75.7,0,63,58.8,0,88,57.3,0,15,9.2,0,29.2,28.5,0.0
17,91,80.7,68,59,53.4,46,68,42.0,21,14,6.5,0,29.1,29.0,29.0
18,91,81.9,75,63,58.1,55,61,45.3,29,23,7.8,0,29.0,29.0,28.9
19,90,79.4,72,66,61.8,59,69,56.0,36,30,14.2,0,28.9,28.3,0.0
20,93,79.9,64,63,58.9,55,88,52.0,30,14,8.8,0,29.0,28.9,28.9
21,95,82.9,72,63,58.4,52,65,45.6,24,14,7.4,3,29.0,29.0,28.9
22,95,83.2,72,64,58.7,55,69,45.7,26,16,8.5,3,29.0,29.0,28.9
23,86,76.6,68,64,60.8,57,73,58.7,43,23,9.3,0,29.0,29.0,28.9
24,95,82.8,68,63,58.1,55,73,46.1,26,9,2.9,0,29.0,29.0,28.9
25,99,86.3,72,61,57.7,55,60,39.5,24,14,3.1,0,29.0,29.0,28.9
26,99,84.2,72,66,59.9,50,83,48.8,19,101,10.1,0,29.0,28.9,28.8
27,90,77.8,68,66,61.4,57,88,60.2,33,25,12.9,6,29.0,29.0,28.9
28,93,81.0,70,63,58.1,54,73,48.3,28,23,10.3,0,29.1,29.0,28.9
29,88,73.0,59,64,57.4,55,88,60.8,33,63,18.2,0,29.1,29.0,28.9
30,90,70.7,57,55,53.6,50,88,59.2,27,40,13.0,0,29.1,29.0,28.9
