Days,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
1,95,86.7,77,84,78.7,75,94,77.2,59,29,6.3,0,28.8,28.7,28.7
2,99,88.8,82,81,78.2,73,84,71.5,53,29,6.7,0,28.8,28.7,28.6
3,97,88.2,79,79,76.9,73,89,69.9,56,20,5.2,0,28.8,28.7,28.7
4,100,91.7,84,79,78.4,75,79,65.5,50,21,8.3,0,28.8,28.8,28.7
5,95,86.9,77,81,77.5,73,89,73.6,59,21,7.6,0,28.9,28.8,28.8
6,99,90.5,84,81,77.8,75,79,66.7,53,15,7.5,0,28.8,28.7,28.6
7,95,88.7,84,81,77.6,75,89,70.3,56,16,7.0,0,28.7,28.7,28.6
8,99,91.0,82,79,77.1,75,79,64.6,50,15,8.3,0,28.8,28.7,28.7
9,95,89.7,82,81,78.3,75,79,69.0,56,17,6.7,0,28.9,28.8,28.8
10,95,88.8,84,81,78.7,75,84,71.9,59,21,8.3,0,28.9,28.9,28.8
11,99,87.7,82,79,77.2,75,89,71.8,53,29,7.3,0,28.9,28.3,0.0
12,99,90.2,84,79,76.7,73,84,65.7,49,128,12.1,5,28.8,28.8,28.7
13,99,91.6,84,77,76.3,75,79,61.8,50,20,10.6,1,28.8,28.7,27.9
14,93,88.1,82,81,78.3,75,84,72.6,66,25,12.2,5,28.9,28.8,28.8
15,95,87.0,79,79,76.2,73,89,71.3,56,15,6.7,0,28.9,27.7,0.0
16,97,89.7,82,79,77.4,75,84,67.5,53,12,4.5,0,28.9,28.9,28.8
17,99,91.0,84,79,76.8,75,79,63.6,50,12,6.0,0,28.9,28.9,28.8
18,99,91.8,84,81,78.3,77,79,64.9,50,14,5.2,0,28.9,28.9,28.8
19,99,89.6,84,81,77.4,75,84,67.9,53,17,4.0,0,28.9,28.3,0.0
20,99,89.4,81,81,78.3,75,84,70.1,53,9,4.5,0,28.9,28.9,28.9
21,97,90.4,82,81,78.5,75,84,68.7,53,12,5.6,0,28.9,28.9,28.8
22,100,93.2,86,81,79.6,77,79,64.7,53,14,7.0,3,28.8,28.8,28.7
23,99,91.6,86,79,78.0,75,79,64.9,50,23,10.8,3,28.8,28.7,28.7
24,97,88.2,82,79,77.3,75,84,70.9,50,17,9.7,5,28.8,28.7,28.7
25,93,86.2,77,79,75.8,72,100,72.1,55,52,10.1,0,28.8,28.7,28.7
26,93,84.0,77,79,75.1,72,94,75.3,63,16,6.2,0,28.9,28.8,28.8
27,95,87.1,79,75,73.2,72,79,64.7,49,14,6.8,0,28.8,28.8,28.8
28,93,83.8,73,75,72.4,68,94,69.5,52,35,9.3,0,28.9,28.8,28.8
29,95,85.8,79,75,71.1,68,89,64.0,41,25,7.9,0,28.9,28.9,28.8
30,99,88.8,77,75,71.2,68,78,57.2,37,12,5.4,0,29.0,28.9,28.9
31,99,90.3,82,75,73.2,72,74,58.2,44,15,5.2,0,29.0,28.9,28.9
