Days,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
1,73,62.7,54,55,52.0,50,88,69.2,44,12,3.5,0,29.4,29.3,29.2
2,73,64.2,55,54,52.1,50,88,66.2,44,8,1.2,0,29.4,29.3,29.3
3,73,63.9,54,57,53.1,50,88,69.1,50,3,0.1,0,29.4,29.3,29.2
4,73,63.3,54,55,51.7,48,88,67.4,43,9,1.4,0,29.3,29.3,29.2
5,73,61.8,54,55,52.9,52,94,74.1,47,13,0.8,0,29.3,28.7,0.0
6,75,62.5,52,52,47.9,43,88,62.5,33,12,3.2,0,29.3,29.3,29.2
7,75,62.2,50,52,49.1,46,88,65.1,38,8,2.2,0,29.3,29.2,29.2
8,73,61.9,50,52,49.1,45,88,66.0,36,5,1.0,0,29.3,29.2,29.2
9,73,61.1,50,54,50.3,46,88,69.5,38,7,1.6,0,29.4,28.7,0.0
10,72,59.3,48,52,48.0,45,93,68.9,41,12,2.8,0,29.2,29.2,29.1
11,68,58.7,48,54,50.3,45,88,74.3,56,7,1.1,0,29.3,29.2,29.2
12,66,57.3,48,54,50.0,45,93,76.8,63,6,1.2,0,29.3,29.2,29.2
13,70,58.1,48,52,48.6,46,94,72.9,43,5,0.5,0,29.3,29.3,29.2
14,68,55.8,46,54,48.3,43,93,77.3,52,8,1.9,0,29.4,29.3,29.3
15,70,55.7,45,50,46.3,43,93,72.5,46,6,0.5,0,29.4,29.3,29.3
16,66,56.0,45,48,44.4,41,88,67.2,40,9,2.2,0,29.3,28.7,0.0
17,68,55.0,45,48,45.4,43,93,72.2,43,8,2.7,0,29.4,29.3,29.3
18,70,55.9,45,50,45.6,41,100,71.9,38,12,2.5,0,29.4,28.1,0.0
19,68,56.0,45,48,44.6,39,93,68.8,37,12,2.1,0,29.4,28.1,0.0
20,72,57.1,45,46,42.5,39,93,62.1,31,12,2.1,0,29.4,29.3,29.3
21,70,56.3,43,50,43.8,37,93,66.9,31,8,1.3,0,29.3,25.8,0.0
22,66,54.3,43,48,45.0,41,93,72.8,46,17,2.9,0,29.3,29.3,29.2
23,68,56.5,45,54,49.4,41,88,77.6,56,14,2.3,0,29.4,29.4,29.2
24,68,56.0,45,54,49.1,41,94,78.4,52,9,1.4,0,29.5,29.4,29.4
25,68,55.9,45,55,50.9,45,100,84.5,60,5,0.8,0,29.4,29.3,29.3
26,66,52.0,0,54,45.5,0,100,78.8,0,5,0.2,0,29.4,29.3,29.3
27,63,52.9,43,57,50.9,43,100,93.4,77,0,0.0,0,29.5,29.4,29.4
28,61,51.9,43,54,50.0,43,100,93.6,77,7,2.2,0,29.4,29.3,29.3
29,55,49.0,43,50,46.7,43,100,91.8,82,8,2.3,0,29.4,27.5,0.0
30,57,50.1,43,50,46.1,43,100,87.1,72,7,1.4,0,29.4,29.3,29.3
31,55,49.2,45,48,45.0,43,93,85.7,72,5,0.1,0,29.4,29.3,29.3
