Days,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
1,63,55.6,48,52,48.5,45,94,77.9,63,29,8.8,0,29.4,29.2,29.1
2,66,55.4,46,50,45.7,43,88,70.6,52,14,6.8,0,29.5,29.4,29.3
3,61,56.0,52,52,45.3,43,82,67.6,55,15,8.4,0,29.4,29.3,29.3
4,61,54.3,50,50,49.5,46,100,85.2,68,12,5.6,0,29.3,29.3,29.2
5,64,54.4,46,52,46.9,43,93,77.0,56,7,1.7,0,29.4,29.3,29.3
6,66,56.2,46,50,42.9,37,88,63.7,37,14,4.3,0,29.4,29.4,29.3
7,66,55.6,45,45,42.3,37,87,62.9,37,14,5.0,0,29.4,29.4,29.3
8,70,58.0,46,45,39.9,34,82,54.5,28,22,9.3,0,29.4,29.3,29.2
9,72,58.9,46,46,39.2,34,76,51.9,27,9,3.7,0,29.4,29.3,29.2
10,72,59.0,46,50,46.5,43,87,65.5,41,8,1.2,0,29.5,29.4,29.4
11,73,60.6,48,50,46.3,43,87,62.2,35,9,1.9,0,29.4,29.4,29.4
12,68,58.1,48,50,46.0,43,87,66.0,43,6,0.6,0,29.4,28.2,0.0
13,73,58.8,0,64,51.9,0,88,76.3,0,6,0.7,0,29.4,29.3,29.3
14,73,62.0,48,52,45.4,41,88,57.9,33,12,3.3,0,29.4,29.3,29.3
15,75,62.3,48,50,47.2,43,87,60.1,36,9,1.9,0,29.4,29.3,29.3
16,75,63.4,48,54,48.1,43,87,60.7,31,9,1.6,0,29.4,29.4,29.3
17,75,63.3,50,52,48.1,45,94,60.7,34,6,1.6,0,29.3,29.2,29.1
18,66,60.6,54,54,51.1,48,88,71.1,56,12,5.5,0,29.2,29.1,29.0
19,73,64.4,57,59,54.2,50,83,70.2,53,32,17.5,0,29.0,29.0,28.9
20,70,62.0,55,57,53.4,50,88,74.0,60,21,6.3,0,29.1,29.1,29.0
21,72,61.7,54,52,48.5,43,88,65.1,35,12,4.1,0,29.2,29.1,29.1
22,73,61.9,52,50,46.4,43,88,59.8,33,14,6.5,3,29.3,29.2,29.1
23,72,61.5,52,46,38.2,28,76,46.9,20,21,6.6,0,29.3,29.2,29.2
24,73,61.7,50,46,39.5,30,76,47.9,20,12,4.0,0,29.3,29.3,29.2
25,72,61.0,50,46,42.9,39,77,54.0,31,12,3.7,0,29.4,29.4,29.3
26,68,59.9,50,50,43.1,37,82,56.8,33,14,5.0,0,29.4,29.3,29.3
27,72,60.5,52,50,47.0,45,88,63.3,41,12,5.2,0,29.4,29.3,29.3
28,75,62.6,50,50,44.1,39,82,54.2,27,15,5.4,0,29.3,29.3,29.2
29,77,64.7,50,52,45.6,41,72,52.4,28,14,5.0,0,29.2,29.2,29.2
