Days,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min
1,66,61.4,57,55,53.0,50,82,73.8,60,21,10.4,2,29.3,29.2,29.0
2,73,63.5,57,63,56.7,50,94,79.2,60,30,17.7,12,29.0,29.0,28.8
3,68,58.3,50,50,40.9,34,82,55.1,28,15,8.6,0,29.2,29.1,29.0
4,68,57.9,50,45,38.3,34,67,50.4,28,14,4.8,0,29.4,29.3,29.2
5,70,59.3,48,46,40.4,34,77,52.9,27,12,4.4,0,29.4,29.3,29.2
6,75,61.9,50,43,40.7,36,76,49.3,25,14,4.8,0,29.3,29.2,29.2
7,75,64.4,55,50,46.3,43,77,53.7,34,14,6.1,0,29.3,29.2,29.2
8,75,64.6,55,52,46.2,39,88,54.9,27,14,5.7,0,29.3,29.3,29.2
9,77,65.5,52,50,42.6,32,77,47.9,19,14,6.1,0,29.3,29.2,29.2
10,77,67.7,55,50,44.0,39,67,44.9,26,9,2.7,0,29.3,29.2,29.2
11,75,65.8,61,59,53.1,48,88,64.7,41,14,2.0,0,29.3,29.3,29.2
12,79,67.7,55,55,52.7,50,88,61.3,36,14,4.3,0,29.3,29.2,29.2
13,70,63.9,57,55,53.2,52,82,68.2,53,12,4.9,0,29.2,29.1,29.1
14,79,67.0,55,54,50.3,46,82,56.9,39,15,8.9,0,29.3,29.3,29.2
15,77,64.3,57,50,47.8,45,72,57.1,34,16,9.4,3,29.2,29.2,29.2
16,82,71.4,57,57,49.7,45,77,48.5,30,17,5.0,0,29.3,29.2,29.2
17,84,71.1,57,55,48.4,41,72,47.7,22,12,4.4,0,29.3,29.2,29.2
18,86,72.9,59,55,49.4,43,77,47.4,22,14,4.2,0,29.2,29.2,29.1
19,88,73.3,57,55,52.4,50,77,50.7,29,14,2.6,0,29.2,29.2,29.1
20,90,75.9,59,55,50.4,43,77,44.8,21,21,5.3,0,29.2,29.2,29.1
21,84,73.7,0,63,57.6,0,78,56.2,0,21,8.3,0,29.2,29.1,29.1
22,84,72.1,66,64,61.4,57,83,70.0,40,16,7.6,0,29.2,29.1,29.0
23,88,77.2,68,63,58.0,50,83,55.1,29,14,7.1,0,29.1,29.1,29.0
24,84,74.6,66,63,59.5,57,83,61.0,40,25,7.0,0,29.2,29.1,29.0
25,90,77.2,64,59,55.9,50,83,51.5,27,16,5.8,0,29.2,29.1,29.1
26,84,77.2,68,61,59.5,57,73,55.0,42,9,2.7,0,29.2,29.1,29.0
27,84,75.8,70,66,61.6,59,78,62.3,45,23,10.8,0,29.3,29.2,29.1
28,84,74.9,66,63,60.8,55,78,62.1,45,23,10.0,3,29.2,29.1,29.1
29,90,78.1,66,63,60.3,59,83,56.6,38,14,6.9,2,29.1,29.1,29.0
30,81,73.6,63,66,61.8,59,88,67.9,51,40,13.3,0,29.2,29.1,29.0
31,81,70.3,61,59,57.5,55,88,66.5,45,23,11.4,0,29.2,28.6,0.0
